Polish,English
to,this
się,myself
na,on
co,What
że,That
jest,Is
do,down
tak,Yes
jak,How
mnie,me
ale,But
mi,to me
za,behind
ja,I
ci,these
tu,here
go,him
tego,this
tym,this
ty,you
czy,Whether
tylko,Just
po,after
jestem,I am
cię,you
ma,has
może,Maybe
już,Already
mam,I have
jesteś,You are
pan,Mr
coś,something
dla,For
wiem,I know
dobrze,All right
jeśli,If
od,From
teraz,Now
proszę,Please
tam,over there
wszystko,All
masz,You have
więc,So
nic,nothing
być,to be
będzie,will be
gdzie,Where
są,are
on,he
mogę,I can
ten,this
ciebie,you
sobie,herself
wiesz,You know
ze,That
bardzo,Very
jej,her
kiedy,When
był,was
jeszcze,still
nas,us
chcę,I want
mój,my
było,was
no,yeah
przez,By
by,that
pani,you
ją,I
jego,his
ich,their
dlaczego,Why
chcesz,You want
żeby,To
tutaj,here
mamy,We have
też,Too
bo,because
dobra,All right
kto,Who
nigdy,Never
przepraszam,Sorry
mu,him
naprawdę,Really
możesz,You can
chyba,I guess
porządku,order
dziękuję,Thank you
muszę,I have to
panie,ladies
właśnie,Exactly
ona,She
domu,house
zrobić,to do
nawet,even
gdy,When
prawda,True
te,these
nam,U.S
będę,I will
zawsze,Always
bez,without
nim,him
je,them
była,was
jesteśmy,We are
dzięki,Thanks
tej,this
moja,My
trochę,A bit
ktoś,someone
musisz,you have to
cześć,Hi
hej,Hi
lat,years
moje,my
pana,Mr
musimy,we must
dalej,next
twój,your
wszyscy,all
czas,time
chce,I want
który,which
więcej,more
tobą,you
boże,God
powiedzieć,to say
sam,alone
chodzi,goes
czego,what
ta,this
możemy,We can
albo,or
mną,me
razem,Together
niech,let
dobry,Good
raz,once
stało,stood
was,mustache
czym,what
prostu,just
będziesz,you will
chodź,come
czemu,Why
przed,Before
ludzi,people
daj,give
ludzie,People
dzień,Day
przy,by
życie,life
niż,than
robisz,you do
myślę,I think
lepiej,Better
kim,Who is
myślisz,Do you think
miał,had
my,we
nikt,nobody
czasu,time
powiedz,Say
rzeczy,things
twoja,your
tych,these
stąd,hence
niego,him
mówi,says
im,them
temu,ago
jeden,one
pod,under
musi,has to
siebie,myself
twoje,your
powiedział,he said
oczywiście,Of course
ok,Approx
moim,my
oni,they
dwa,two
które,which
pewnie,Sure
dziś,today
kurwa,whore
wie,knows
taki,such
aby,To
skąd,from where
cholera,cholera
dzieje,history
wygląda,looks like
wtedy,then
mojego,mine
takie,such
ile,how much
wszystkie,all
mieć,to have
dlatego,Which is why
znaczy,means
będziemy,we will be
potem,later
jasne,Of course
iść,to go
dużo,A lot
cóż,Well
tę,these
byłem,I was
rozumiem,I see
wam,you
miejsce,place
cały,whole
trzeba,it's necessary to
moją,My
można,you can
pomóc,help
jako,as
nich,them
szybko,Quick
jakiś,some
mojej,mine
nią,her
mają,May
wszystkich,all
jakieś,some
wiedzieć,know
swoje,own
przykro,sorry
stary,old
zaraz,In a second
myśli,thinks
dzieci,kids
nad,above
wiele,many
kochanie,Honey
kilka,several
mówię,I say
mówisz,you speak
zanim,before
miałem,I had
kocham,I love
świetnie,Great
tobie,you
takiego,such
tyle,so much
robić,to do
trzy,Three
idź,go
kogoś,someone
ani,or
pewno,surely
myślałem,I thought
widzisz,You see
kiedyś,Once
robi,does
widzę,I see
jaki,What
niej,her
ojciec,father
zbyt,too
która,which
zobaczyć,see
przestań,Stop
sposób,way
pracy,work
dzisiaj,Today
sie,myself
później,Later
bardziej,more
będą,will be
aż,until
życia,life
jutro,Tomorrow
tą,that
rację,right
żebyś,that you
długo,long
tato,dad
każdy,everyone
twoim,yours
chciałem,I wanted
dni,days
twojej,your
nadzieję,hope
stanie,state
koniec,end
znam,I know
mamo,mum
swoją,its
problem,problem
żyje,is alive
potrzebuję,I need
widziałem,I saw
spokój,composure
powiem,I will say
minut,minutes
broń,weapon
panu,Lord
mógł,could
nami,us
wy,You
nocy,night
wciąż,still
znowu,again
pieniądze,money
imię,name
dnia,day
zabić,kill
drzwi,door
pierwszy,first
taka,such
nasz,our
posłuchaj,listen
ponieważ,Because
słuchaj,listen
jakie,What
gdyby,if
miło,Nice
spójrz,look
chciałbym,I'd like
sir,sir
razie,in time in time
nasze,our
dokładnie,Exactly
czuję,I feel
zrobił,he did
dobre,Good
samo,itself
nadal,still
człowiek,man
twoją,your
znaleźć,to find
chwilę,moments
chciał,he wanted
kogo,whom
zostać,stay
czegoś,something
wszystkim,everyone
został,left
roku,year
mówić,to talk
jesteście,you are
facet,guy
mów,say
powiedziałem,I said
były,were
którzy,who
dziecko,kid
idziemy,we are going
sama,alone
macie,you have
mówiłem,I said
we,in
napisy,writings
mogą,may
spokojnie,Relax
sobą,ourselves
bym,that
miała,she had
przecież,yet
dom,House
poza,apart from
zamknij,close
byłeś,you were
lubię,I like
oh,oh
żadnych,no
pomocy,help
prawie,almost
gdzieś,somewhere
porozmawiać,talk
wcześniej,before
podoba,like
zrobię,I will do
czekaj,Wait
dość,enough
twojego,yours
lub,or
moich,mine
razy,times
znasz,you know
mały,small
ciągle,all the time
jakby,as if
wydaje,spends
mama,mom
powinniśmy,we should
jeżeli,if
jack,jack
powinieneś,you should
innego,another
sprawy,Affairs
rozumiesz,You understand
trzymaj,hold
końcu,end
powodu,reason
jedno,one
pamiętasz,Do you remember
pomysł,idea
noc,night
pewien,a
którą,which
wiemy,We know
bądź,be
żebym,that I would
numer,number
oczy,Eyes
lata,years
dwie,two
miejscu,place
dokąd,where
och,oh
pokoju,room
chodźmy,Let's go
ojca,father
weź,take
idę,I'm going
samochód,car
nowy,new
jednak,But
świat,world
źle,Badly
którego,whose
niczego,nothing
oto,here
dwóch,two
sprawa,thing
swój,your
idzie,goes
takim,such
jedną,one
wystarczy,enough
byłam,I was
rano,in the morning
nimi,them
halo,Hello
byś,that
życiu,life
całe,all
wiedziałem,I knew
swojego,of its own
śmierć,death
ręce,hands
musiał,he had to
którym,which
całą,whole
chcą,they want
da,da
właściwie,actually
zrób,make
panowie,gentlemen
skoro,since
drogi,Dear
czujesz,you feel
dam,lad
pozwól,let
wyglądasz,you look
jednego,one
jedna,one
mówił,he spoke
których,whose
świecie,world
patrz,Look
nikogo,nobody
byli,were
pytanie,question
swoim,his own
której,which
powinienem,I should
jezu,Jesus
dać,to give
rzecz,thing
powiedziała,she said
powiedziałeś,You said
najpierw,firstly
sądzę,I think
prawo,law
matka,mother
widzieć,see
John,John
dr,dr
telefon,Telephone
podczas,while
wczoraj,Yesterday
śmierci,death
pracę,work
pamiętam,I remember
uważaj,be careful
parę,a couple
wrócić,come back
diabła,devil
the,the
robię,I am doing
zrobiłem,I did
kobiety,women
poważnie,seriously
miejsca,place
znów,again
cholery,cholera
zrobiłeś,you did
sprawę,case
zaczekaj,Wait
powiesz,you will say
rób,do
natychmiast,immediately
dziewczyna,girl
również,also
działa,works
słyszałem,I heard
pięć,five
super,cool
swoich,of its own
mówią,they say
witam,Hello
całkiem,quite
cokolwiek,whatever
witaj,Hello
gdybym,if I
żona,wife
prawdę,truth
zostaw,leave
bóg,God
wierzę,I believe
szybciej,faster
nieźle,not bad
wielu,many
inaczej,otherwise
gra,game
dopiero,only
wcale,at all
pieniędzy,money
pójdę,I will go
godziny,hours
wiedział,he knew
udało,sucked
człowieka,human
stać,be
wina,fault
wiecie,you know
swojej,of its own
poznać,to get to know
inne,other
jednym,one
myślałam,I thought
miałam,I had
chwili,moment
innych,other
dopóki,as long as
nowa,new
nowego,new
miłość,love
ziemi,earth
inny,other
przynajmniej,at least
nasza,our
ważne,important
wiadomość,message
dolarów,dollars
słowa,words
słucham,I'm listening
naszych,ours
naszej,ours
między,between
dostać,to receive
czasem,sometimes
chciałam,I wanted
jaką,what
gówno,shit
brzmi,sounds
chcemy,we want
każdego,each
raczej,rather
możliwe,That's possible
każdym,every
widziałeś,you saw
dawaj,come on
nazywa,names
powinien,should
zabrać,take
dziewczyny,Girls
miałeś,You had
chłopaki,boys
doktorze,doctor
potrzebuje,I need
zgadza,agree
zrobimy,we will do
godzin,hours
ostatni,last
wieczór,evening
świata,world
serce,heart
martw,deadly
wielki,large
powrotem,return
żyć,lives
one,they
plan,plan
pl,pl
byłoby,would be
potrzebujemy,We need
dobranoc,Good night
żadnego,none
kapitanie,captain
zobaczenia,see
możecie,you can
wspaniale,excellent
ogóle,all
także,too
pół,half
idziesz,you go
takich,such
pojęcia,concepts
twoich,yours
czymś,something
cztery,four
skarbie,Honey
tata,dad
naszego,ours
panią,lady
wybacz,Sorry
chcecie,you want
zrobisz,you will do
pokój,room
poczekaj,Wait
uda,thighs
głowy,head
szczęście,luck
wyjść,exit
robota,job
naszym,ours
syn,son
gotowy,ready
cieszę,I'm happy
głowę,head
rozmawiać,to talk
krwi,blood
wszystkiego,all
zabił,killed
czasie,time
ciało,body
należy,belongs
dziwne,Weird
została,she stayed
przeciwko,against
ruszaj,go
cała,whole
strony,pages
jaka,what
mógłbym,I could
oznacza,means
pomoc,help
taką,such
zostało,stayed
miasta,cities
tłumaczenie,translation
końca,end
zostanie,will stay
policja,Police
mieli,they had
pewna,sure
obchodzi,celebrates
ode,from
syna,son
czasami,Sometimes
twarz,face
rok,year
mieliśmy,we had
lecz,but
ostatnio,lately
uwierzyć,believe
daleko,far
rodziny,families
mogłem,I could
lubisz,you like
blisko,close
zły,bad
środku,inside
boga,God
byliśmy,We were
drodze,road
szkoły,school
czeka,waiting
słowo,word
radę,advice
człowiekiem,human
mogła,could
brat,brother
mała,little
krew,blood
najbardziej,the most
wejść,enter
zewnątrz,outside
mąż,husband
robimy,we do
słyszysz,you hear
kimś,someone
część,Hi
wieczorem,In the evening
widziałam,I saw
zna,know
wody,water
moi,my
potrzebujesz,you need
lubi,likes
wracaj,come back
rękę,hand
tydzień,week
frank,franc
wrócę,I will come back
innym,other
wypadek,accident
mówiłeś,you said
stronie,page
mógłbyś,you could
sprawie,case
zobaczymy,We'll see
wziąć,to take
gdybyś,if you
naszą,our
nazywam,My name is
późno,late
zależy,depends
człowieku,Man
góry,mountains
pomóż,help
jechać,to go
pokaż,show
ciężko,hard
napisów,inscriptions
serio,seriously
roboty,work
zrobi,do
mniej,less
broni,weapons
kiedykolwiek,whenever
temat,topic
mało,little
popatrz,look
charlie,charlie
prawa,laws
miesięcy,months
pójść,go
koleś,dude
jedziemy,we drive
wkrótce,soon
nowe,new
pierwsze,first
nazwisko,last name
miasto,city
racja,right
leci,flies
zostań,stay
stronę,page
nieważne,Never mind
chciała,She wanted
chłopak,boy
zdjęcia,photos
znalazłem,I found
powinno,should be
robią,do
powinnaś,you should
statek,ship
zostały,left
wszędzie,everywhere
prosto,straight
wielkie,great
dół,hole
zupełnie,quite
tędy,this way
spotkanie,meeting
małe,small
ponad,above
według,According to
widział,saw
mówiąc,saying
drogę,way
doktor,doctor
praca,Work
drugi,second
byłaś,you were
górę,top
wiedzą,knowledge
mieście,city
jakoś,somehow
film,movie
czyli,That is
chociaż,though
kłopoty,troubles
droga,way
samochodu,car
szansę,chances
zatrzymać,stop
niemożliwe,impossible
spać,to sleep
chłopcy,boys
mógłby,could
wasza,yours
sądzisz,you think
przyjaciel,friend
michael,Michael
tymi,these
złe,Badly
mogli,they could
synu,son
powiedziałam,I said
szkoda,Pity
całym,All
żaden,no
taa,yeah
trzech,three
wami,you
pracuje,He's working
faceta,man
sprawdzić,to check
pogadać,talk
serca,hearts
you,you
kraju,country
dał,gave
trudno,it is difficult
drugiej,second
zaczyna,starts
brak,lack
choć,though
powinnam,I should
ruszać,move
chciałabym,I would like
cicho,quiet
samego,itself
godzinę,hour
piękna,Beautiful
jakąś,some
tom,volume
www,www
widzenia,vision
spotkać,meet
pracować,work
żadnej,none
pa,PA
spróbuj,try
znać,know
ciała,bodies
przyjaciół,friends
razu,once
zapomnij,forget
harry,Harry
najlepszy,best
ostatnie,last
policji,police
otwórz,open
problemy,problems
ojcem,father
przykład,example
myśleć,think
głupi,stupid
wolno,slow
słyszałeś,did you hear
powodzenia,Good luck
rodzina,family
pomoże,will help
kilku,several
uwagę,attention
muszą,must
chwila,one sec
jakaś,some
zdjęcie,photo
środka,center
nowym,new
szefie,boss
odejść,depart
wspólnego,in common
musiałem,I had to
sami,themselves
ziemię,Earth
dawno,long time ago
będziecie,you will
trzymać,to hold
pracuję,He's working
pewnego,certain
inni,others
gotowi,ready
sześć,six
głowie,head
zabierz,take
sekund,seconds
zmienić,to change
zabiję,I will kill
czekać,wait
gość,guest
walczyć,fight
chwileczkę,for a while
wystarczająco,sufficiently
musicie,you have to
dasz,you can give
tysięcy,thousands
pierwsza,first
zadzwonić,call
rady,advice
prawdopodobnie,probably
zostawić,to leave
niestety,Unfortunately
zobacz,Look
nagle,suddenly
wezmę,i'll take
zabawne,funny
żonę,wife
panem,master
większość,majority
wracam,I'm coming back
joe,Joe
wiedziałam,I knew
brata,brother
często,often
powie,will say
dobrym,good
tyłu,so many
błąd,mistake
boję,I am afraid
cel,objective
rany,wounds
mówiłam,I said
wasze,yours
niczym,like
obiecuję,I promise
początku,beginning
historia,history
chciałeś,you wanted
uwaga,Attention
gotowa,ready
zacząć,start
zatem,therefore
tony,tons
istnieje,exists
jednej,one
pokazać,show
nikomu,no one
jakim,what
rodzice,parents
okay,okay
szkole,School
czuje,I feel
los,moose
george,george
david,David
obok,Near
uspokój,calm
chodźcie,go
miało,was supposed to
całkowicie,entirely
stój,stand
wiadomości,the news
pomyślałem,I thought
nogi,legs
org,org
ulicy,street
matki,mother
fbi,FBI
jedź,go
wojny,wars
ciągu,sequence
okazji,occasion
zadzwonię,I will call
około,about
ojcze,father
samym,on the same
uważam,I think
miłości,love
mike,mike
przyszedł,he came
tygodniu,week
prawdziwe,real
zadzwoń,Call
widać,can be seen
myśl,thought
pozwolić,to let
słyszę,I hear
wracać,return
dajcie,give
historii,history
http,http
zajmę,I will occupy
wieku,age
jedynie,only
zamiast,instead
jakiegoś,some
umrzeć,die
wróci,will come back
przyjdzie,will come
łatwo,easy
siostra,sister
oraz,and
prawdziwy,true
czyż,or
następny,next
proste,easy
rodzinę,family
